Platform,Game_Count,Total_Sales,Avg_Sales
2600,133,97.08,0.73
3DO,3,0.1,0.03
3DS,509,247.46,0.49
DC,52,15.97,0.31
DS,2163,822.49,0.38
GB,98,255.45,2.61
GBA,822,318.5,0.39
GC,556,199.36,0.36
GEN,27,28.36,1.05
GG,1,0.04,0.04
N64,319,218.88,0.69
NES,98,251.07,2.56
NG,12,1.44,0.12
PC,960,258.82,0.27
PCFX,1,0.03,0.03
PS,1196,730.66,0.61
PS2,2161,1255.64,0.58
PS3,1329,957.84,0.72
PS4,336,278.1,0.83
PSP,1213,296.28,0.24
PSV,413,61.93,0.15
SAT,173,33.59,0.19
SCD,6,1.87,0.31
SNES,239,200.05,0.84
TG16,2,0.16,0.08
WS,6,1.42,0.24
Wii,1325,926.71,0.7
WiiU,143,81.86,0.57
X360,1265,979.96,0.77
XB,824,258.26,0.31
XOne,213,141.06,0.66
